age,alpha
19,0.01176970577185084
20,0.004854227406256913
21,0.0017000209010070988
22,0.0016981802036614008
23,-0.0009083344960856624
24,-0.0005074083096973173
25,-0.0021637501145849274
26,-0.0026969602139685495
27,-0.0006001733320629178
28,0.0
29,0.0013584366326504817
30,0.0023578601319627357
31,0.0037319078025776775
32,0.0059420396552136625
33,0.006315664051843129
34,0.008913164614008547
35,0.011776996154756672
36,0.011314284727406941
37,0.015218566275528525
38,0.015860166696540525
39,0.014090708624839514
40,0.014978240969065628
41,0.02002969842679646
42,0.024736003842138962
43,0.031085667559910796
44,0.03764968954877304
45,0.029070321933695048
