season,mu,n_pa
1910,0.016465643505476524,72171
1911,0.03526418525929775,85824
1912,0.03401486493494918,88629
1913,0.024765951976473494,87781
1914,0.014988001181673455,90720
1915,0.013680122470006967,88711
1916,0.010219217584785334,90513
1917,0.008835591235968304,91474
1918,0.010255709757793163,73720
1919,0.01599904358886267,82104
1920,0.02895318113668982,91878
1921,0.03682134404276158,92635
1922,0.03677612483238818,93628
1923,0.033740039945911016,92107
1924,0.03137458006273111,92935
1925,0.03750890927025935,94339
1926,0.025280416536534123,93752
1927,0.025732932122728508,94084
1928,0.024483742436129052,93404
1929,0.03186491329898661,93193
1930,0.03440758483871734,95013
1931,0.019991020274826243,92959
1932,0.019133971864927463,93360
1933,0.005683931149393889,92931
1934,0.018338993487871214,92451
1935,0.014817729951629527,93554
1936,0.024957161394445843,95183
1937,0.016982800834094786,93968
1938,0.016526765445816854,93392
1939,0.012549457641758965,93679
1940,0.007366413443899128,92958
1941,0.006160894277877443,94113
1942,-0.0062755509881758376,91837
1943,-0.0026349435166492796,91204
1944,0.006422499679287985,90046
1945,0.010461557866167398,83677
1946,-0.0021149736264391705,93067
1947,0.0042207905411641156,92276
1948,0.01134800145901324,93512
1949,0.014867205326439814,94127
1950,0.017663328725036065,94692
1951,0.0071583367898472305,93979
1952,0.0005813487156841601,90902
1953,0.010838209747333738,92242
1954,0.004435927560645203,92309
1955,0.004052332800916797,91874
1956,-0.0009241430229994796,92333
1957,-0.0030407346501887533,93233
1958,-0.003972473208230215,91645
1959,-0.006591016940417083,91258
1960,-0.00690476427026121,93673
1961,-0.0008755350553571739,107738
1962,-0.0020269418749407075,120920
1963,-0.02033685801194826,119880
1964,-0.02043201985792703,119200
1965,-0.021489379808298625,120680
1966,-0.02290968584228817,119494
1967,-0.027827712820368833,119954
1968,-0.033370444749204364,118352
1969,-0.008499386020851513,143592
1970,-0.004645632954598883,145722
1971,-0.01287420127934244,144007
1972,-0.01988497830959532,137215
1973,-0.012196336717657297,146689
1974,-0.016355848842524556,146080
1975,-0.014549842133390056,145242
1976,-0.020693065788409237,145833
1977,-0.011994228126084167,158259
1978,-0.02031159434074975,156222
1979,-0.01195464777258759,156948
1980,-0.013731641508402836,157688
1981,-0.020953793689798716,104281
1982,-0.01666834292741945,158253
1983,-0.014731224202553878,157448
1984,-0.015226902543841653,158102
1985,-0.01672201454924102,156425
1986,-0.012479747610885578,156932
1987,-0.007779961007030878,159357
1988,-0.02234271761615944,156222
1989,-0.01966659892596212,156931
1990,-0.01684307958446407,156871
1991,-0.017027048348596086,156708
1992,-0.01646494319295866,157688
1993,-0.005003195533480748,169931
1994,-0.00018261206070305236,121998
1995,0.0008425882367072424,152871
1996,0.0027585393418295134,172522
1997,-0.0009233864939892367,173096
1998,-0.0003429811490190393,185013
1999,0.010856886413597555,187034
2000,0.00905031180625579,186454
2001,-0.005104662433759344,183343
2002,-0.005643012051275348,181794
2003,-0.0020983845509140453,183660
2004,0.0014623027177061987,185289
2005,-0.0009923204415216713,183487
2006,0.004341136477071267,184837
2007,0.0014068828736275019,184987
2008,0.0008197608055180994,184072
2009,0.0018185729415933771,183449
2010,-0.003723485612679267,181769
2011,-0.00787106591892156,181999
2012,-0.008270721685123883,181177
2013,-0.010599266214520842,181980
2014,-0.014389928434991955,181307
2015,-0.013594458338408805,180897
2016,-0.008967450276875455,180179
2017,-0.006231796037176024,181671
2018,-0.013296844938933572,182074
2019,-0.01088728631374683,183637
2020,-0.018841779802796665,65606
2021,-0.018108071933775727,177818
2022,-0.029452346996242107,178874
2023,-0.02331455431566551,181036
2024,-0.03309756982828549,178297
2025,-0.03208562301149687,150933
