park_id,break_season,size,size_pts,size_same_store,composition_share
BOS07,1937,0.022602078105747565,22.6,0.014229553651110862,0.37043162205990354
DEN02,2003,-0.02199290034211971,-22.0,-0.029108236893810716,-0.32352879524780387
CIN07,1953,0.021264644431429575,21.3,0.016432339798683228,0.22724596446127754
CIN08,1975,0.020465610464465323,20.5,0.02089601998079094,-0.021030866246230184
CLE07,1952,0.019952788892562818,20.0,0.007697590644913263,0.6142097885984021
MIL05,1962,0.01834187905403591,18.3,0.01681346814210193,0.08332902574655632
CHI11,1962,0.018325880327724496,18.3,0.011079229408773282,0.39543262257300915
ATL01,1993,-0.017306055942795204,-17.3,-0.016483194340316587,0.047547610223760306
PHI09,1922,0.017226368399636413,17.2,0.014767287667328308,0.14275096615024252
CHI11,1992,-0.015595250319686924,-15.6,-0.014975859239653893,0.039716648808844845
MIN03,1997,-0.014244412343798963,-14.2,-0.011859736511965617,0.16741131710298107
DET05,2007,0.01396418586489095,14.0,0.018306092246213136,-0.3109315804968409
STL07,1919,0.013451681583733815,13.5,0.01098440041686373,0.18341804714241805
CIN07,1919,-0.013374771901542194,-13.4,-0.018154765416718212,-0.3573887876640989
BAL11,1963,0.012422713196412275,12.4,0.014295577851107001,-0.15076132122535157
BAL12,2006,0.010224373148103127,10.2,0.015078263812137001,-0.4747372375522494
BOS07,1986,-0.009826428110313815,-9.8,-0.0119745586821262,-0.2186074683187993
LOS03,2004,0.009518952164279846,9.5,0.012312591394135989,-0.2934818015305676
NYC14,1938,0.00884436295585531,8.8,0.018221927677379866,-1.0602871872548207
