park_id,gap,se,n_hi,n_lo,name
ANA01,0.0029909569345606696,0.0029901564662032187,117697,37577,Angel Stadium of Anaheim
ARL01,0.0002072748733724407,0.004878875950958039,47970,13770,Arlington Stadium
ARL02,0.009548630527665448,0.004511645556688563,51071,16571,Rangers Ballpark in Arlington
ATL01,0.006717235185412784,0.0037797086400527444,62185,24990,Atlanta-Fulton County Stadium
ATL02,0.0012519402453789463,0.005249444600502504,31349,13105,Turner Field
ATL03,0.008889883830878296,0.015426879881713918,22311,1124,Suntrust Park
BAL11,0.0032773199536993355,0.003581249377974343,73238,27243,Memorial Stadium
BAL12,-0.0042314613584489656,0.0045091255614799096,63552,15600,Oriole Park at Camden Yards
BOS07,0.008939084530682038,0.0019804143009675757,219851,92149,Fenway Park
BOS08,-0.010440102264553604,0.0033171277127446355,37694,59963,Braves Field
CHI10,-0.0007445734637330035,0.0022664645558657256,118988,84987,Comiskey Park I
CHI11,0.003666054200788167,0.0019286540783529115,186933,108032,Wrigley Field
CHI12,0.0006234054632428465,0.0038616400017076617,66028,23036,Guaranteed Rate Field;U.S. Cellular Field
CIN07,0.0015380595219069001,0.002645669976174994,70514,75169,Crosley Field
CIN08,0.008333359890672,0.003934001994950396,67928,21716,Cinergy Field
CIN09,0.003583197512705732,0.0052060510529881926,37509,12537,Great American Ballpark
CLE06,0.01333275150462823,0.003624625426591484,36957,40767,League Park IV
CLE07,-0.007336600693381343,0.0028690144896341206,98956,45013,Cleveland Stadium
CLE08,0.0025943249962145716,0.004367625362989058,65027,16799,Progressive Field
DEN02,0.0038841360574509848,0.0041809359815246925,56467,19635,Coors Field
DET04,0.0014312429346026918,0.0021275994141602902,175043,82906,Tiger Stadium
DET05,-0.009873520752719038,0.004697897479621106,44142,15623,Comerica Park
HOU02,-0.00954522458639746,0.003574399284527986,64802,28788,Astrodome
HOU03,-0.00845627948955633,0.004599200299838483,50980,15762,Minute Maid Park
KAN05,0.0023227201629438116,0.005616128027688437,19729,13668,Municipal Stadium
KAN06,-0.003451412507606071,0.003099985496947486,99967,36060,Kauffman Stadium
LOS03,0.001768717370569349,0.0027722175725141654,126894,44850,Dodger Stadium
MIA01,-0.006405069768542472,0.004918390032709004,27332,17123,Sun Life Stadium
MIA02,-0.002002105887097505,0.00847179179637109,23019,4195,Marlins Park
MIL05,-0.008369104063704712,0.0035636348239229555,97085,25274,County Stadium
MIL06,0.006563226557163609,0.005136514353876662,37419,13008,Miller Park
MIN02,-0.007861108301679062,0.005113944219638884,38420,13044,Metropolitan Stadium
MIN03,-0.0019328321720647195,0.003997885577964205,54121,22582,Hubert H. Humphrey Metrodome
MIN04,0.0024796560829731377,0.007620122115835416,29265,5159,Target Field
MON01,0.0035617850836794935,0.006622780182289499,16079,9088,Parc Jarry
MON02,0.0055740521520654274,0.004261214327121866,44136,20558,Stade Olympique
NYC14,0.0005442258436721844,0.0027227210152851616,63719,74542,Polo Grounds V
NYC15,0.00671973419290091,0.002873367896528788,60093,63377,Ebbets Field
NYC16,-0.0012422243677399072,0.0022333036537675326,184807,70553,Yankee Stadium I
NYC17,-0.003676780962417682,0.0030709476036379713,82646,40110,Shea Stadium
NYC20,-0.003193533529219505,0.006837170553747388,34741,6461,Citi Field
NYC21,0.01414398370217023,0.008945046216317181,37618,3477,Yankee Stadium II
OAK01,-0.004471252753702004,0.0032129984944958986,116992,31261,Oakland-Alameda County Coliseum
PHI09,0.03055893974206464,0.0040454741066349035,23788,44994,Baker Bowl
PHI11,0.0015543886811991057,0.0023153696636505016,116186,80362,Shibe Park
PHI12,0.0034770108761603734,0.0036833549003569568,60357,27244,Veterans Stadium
PHI13,0.007471405340273043,0.005518211024274891,41130,10498,Citizens Bank Park
PHO01,-0.0018468754760304368,0.004352885995988673,43069,19538,Chase Field
PIT06,-0.007904942967541382,0.0025907101062208338,76123,75653,Forbes Field
PIT07,-0.00447867693391046,0.00385034919334828,53240,25361,Three Rivers Stadium
PIT08,-0.006492091530968375,0.004856800901307431,36974,15249,PNC Park
SAN01,-0.0026896038326984176,0.003718498925564756,57634,27068,Qualcomm Stadium
SAN02,-0.014216921976460475,0.005343757815134879,32204,12334,PETCO Park
SEA02,-0.0020401909047261853,0.00466722355138924,49306,15325,Kingdome
SEA03,-0.007759270219620822,0.004578903296635046,44879,16654,Safeco Field
SFO02,-0.00411120250460022,0.0034016453424195905,73441,31427,Candlestick Park
SFO03,0.0005741305863242131,0.005245395416399003,38014,12235,AT&T Park
STL05,-0.015489822430428544,0.010314675509080792,2742,18843,Robison Field
STL07,0.012718987900631074,0.0020626725494313314,129513,111294,Sportsman's Park III
STL09,-0.007491388302653716,0.003280986101340984,72471,35123,Busch Stadium II
STL10,0.001179175081696478,0.006457687321981532,35310,7384,Busch Stadium III
STP01,-0.00458907706337172,0.004751853039846574,45395,15007,Tropicana Field
TOR01,-0.011033746042002138,0.005965615161187619,25682,9920,Exhibition Stadium
TOR02,0.004002426268809638,0.004034244180081256,64567,20653,Rogers Centre
WAS09,-0.010213255776246332,0.002733964233164274,68202,68084,Griffith Stadium
WAS10,0.0007975987157797145,0.005977202231623407,16831,12365,Robert F. Kennedy Stadium
WAS11,-0.0035518870410853405,0.006537185601695086,32687,7288,Nationals Park
