park_id,start,end,mean,n_seasons
ANA01,1966,2025,-0.006305169801636051,60
ARL01,1972,1993,-0.00023098390675001972,22
ARL02,1994,2019,0.012314256544388218,26
ATL01,1966,1992,0.011506991183271201,27
ATL01,1993,1996,-0.005799064759524004,4
ATL02,1997,2016,-0.0038436098459851613,20
BAL11,1954,1962,-0.017597976878315134,9
BAL11,1963,1991,-0.005175263681902858,29
BAL12,1992,2005,-0.0035468751680868145,14
BAL12,2006,2025,0.006677497980016312,20
BOS07,1912,1936,-0.00526928544793524,25
BOS07,1937,1985,0.017332792657812325,49
BOS07,1986,2025,0.00750636454749851,40
BOS08,1915,1952,-0.011507455108289011,38
CHI10,1910,1990,-0.0042434741070713836,81
CHI11,1916,1961,-0.0012205937847790307,46
CHI11,1962,1991,0.017105286542945464,30
CHI11,1992,2025,0.0015100362232585399,34
CHI12,1991,2025,-0.0006642293332120494,35
CIN07,1912,1918,0.002466570359654634,7
CIN07,1919,1952,-0.01090820154188756,34
CIN07,1953,1970,0.010356442889542015,18
CIN08,1970,1974,-0.01335701957894752,5
CIN08,1975,2002,0.007108590885517801,28
CIN09,2003,2025,0.008184096138529912,23
CLE06,1910,1946,0.009956870952008694,37
CLE07,1932,1951,-0.019984519091514524,20
CLE07,1952,1993,-3.173019895170506e-05,42
CLE08,1994,2025,-0.0029436850602801872,32
DEN02,1995,2002,0.04953704673153401,8
DEN02,2003,2025,0.027544146389414298,23
DET04,1912,1999,0.0034287502226685303,88
DET05,2000,2006,-0.010033749778083153,7
DET05,2007,2025,0.003930436086807796,19
HOU02,1965,1999,-0.010250210076852014,35
HOU03,2000,2025,-0.00022465285889880688,26
KAN05,1955,1972,0.007812055148685839,18
KAN06,1973,2025,0.002030920248550432,53
LOS03,1962,2003,-0.013742526516086172,42
LOS03,2004,2025,-0.004223574351806326,22
MIA01,1993,2011,-0.0019142154000888376,19
MIA02,2012,2025,-0.0050599812193411085,14
MIL05,1953,1961,-0.022966369791047405,9
MIL05,1962,2000,-0.0046244907370114954,39
MIL06,2001,2025,0.001610429648673048,25
MIN02,1961,1981,0.005593282432906625,21
MIN03,1982,1996,0.00989526681777979,15
MIN03,1997,2009,-0.004349145526019173,13
MIN04,2010,2025,0.0029051983254550443,16
MON02,1977,2004,-0.0018707558864503296,28
NYC14,1912,1937,-0.004890859007745994,26
NYC14,1938,1963,0.003953503948109316,26
NYC15,1913,1957,0.0007286702701411955,45
NYC16,1923,2008,-0.005820357737559271,86
NYC17,1964,2008,-0.006181567698942948,45
NYC20,2009,2025,-0.008299049983518787,17
NYC21,2009,2025,0.0010027303160991495,17
OAK01,1968,2024,-0.012561689422085152,57
PHI09,1910,1921,0.010447511353147691,12
PHI09,1922,1938,0.027673879752784104,17
PHI11,1910,1970,0.0014091316119822946,61
PHI12,1971,2003,0.0029955872805764432,33
PHI13,2004,2025,0.005002612404049825,22
PHO01,1998,2025,0.010985009794415218,28
PIT06,1910,1970,0.0014334858825207808,61
PIT07,1970,2000,0.002227296949539902,31
PIT08,2001,2025,-0.0021370076153200915,25
SAN01,1969,2003,-0.008204536541118712,35
SAN02,2004,2025,-0.012949745085578758,22
SEA02,1977,1999,0.008444972267861109,23
SEA03,1999,2025,-0.015001915248256706,27
SFO02,1960,1999,-0.004631419555111866,40
SFO03,2000,2025,-0.005263602376776438,26
STL05,1910,1920,0.0004469102838511052,11
STL07,1910,1918,-0.005274408417447747,9
STL07,1919,1966,0.008177273166286069,48
STL09,1966,2005,-0.0021415335669713593,40
STL10,2006,2025,-0.004172213501907769,20
STP01,1998,2024,-0.008377572744640467,27
TOR01,1977,1989,0.006734724871101585,13
TOR02,1989,2025,0.003319042030202223,37
WAS09,1911,1961,-0.006378052320901293,51
WAS10,1962,2007,-0.006121012664878507,46
WAS11,2008,2025,0.001756331594897715,18
